recording, word, gold, pm_only, pm_lm, pm_lm_slm
S247XV35QK_SC_01,hello,0,0,0,0
S247XV35QK_SC_01,hai,0,0,0,0
S247XV35QK_SC_01,iam,0,0,0,0
S247XV35QK_SC_01,a,0,0,0,0
S247XV35QK_SC_01,student,0,0,0,0
S247XV35QK_SC_01,from,0,0,0,0
S247XV35QK_SC_01,smp,0,0,0,0
S247XV35QK_SC_01,college,0,0,0,0
S247XV35QK_SC_01,my,0,0,0,0
S247XV35QK_SC_01,coluges,0,0,0,0
S247XV35QK_SC_01,are,0,0,0,0
S247XV35QK_SC_01,very,0,0,0,0
S247XV35QK_SC_01,closely,0,0,0,0
S247XV35QK_SC_01,with,0,0,0,0
S247XV35QK_SC_01,me,0,0,0,0
S247XV35QK_SC_01,they,0,0,0,0
S247XV35QK_SC_01,are,0,0,0,0
S247XV35QK_SC_01,just,0,0,0,0
S247XV35QK_SC_01,amazing,0,0,0,0
S247XV35QK_SC_01,they,0,0,0,0
S247XV35QK_SC_01,are,0,0,0,0
S247XV35QK_SC_01,they,0,0,0,0
S247XV35QK_SC_01,are,0,0,0,0
S247XV35QK_SC_01,very,0,0,0,0
S247XV35QK_SC_01,helpfull,0,0,0,0
S247XV35QK_SC_01,to,0,0,0,0
S247XV35QK_SC_01,do,0,0,0,0
S247XV35QK_SC_01,any,0,0,0,0
S247XV35QK_SC_01,work,0,0,0,0
S247XV35QK_SC_01,in,0,0,0,0
S247XV35QK_SC_01,with,0,0,0,0
S247XV35QK_SC_01,me,0,0,0,0
S247XV35QK_SC_01,and,0,0,0,0
S247XV35QK_SC_01,i,0,0,0,0
S247XV35QK_SC_01,am,0,0,0,0
S247XV35QK_SC_01,also,0,0,0,0
S247XV35QK_SC_01,will,0,0,0,0
S247XV35QK_SC_01,helpful,0,0,0,0
S247XV35QK_SC_01,to,0,0,0,0
S247XV35QK_SC_01,them,0,0,0,0
S247XV35QK_SC_01,and,0,0,0,0
S247XV35QK_SC_01,and,0,0,0,0
S247XV35QK_SC_01,i,0,0,0,0
S247XV35QK_SC_01,am,0,0,0,0
S247XV35QK_SC_01,doing,0,0,0,0
S247XV35QK_SC_01,each,0,0,0,0
S247XV35QK_SC_01,an,0,0,0,0
S247XV35QK_SC_01,activity,0,0,0,0
