RECID,G#B,O#B,TPOS,FPOS,FNEG,(TNEG), ./models/pm_lm_slm/output: p,r,F, ./models/pm_only/output: p,r,F, ./models/pm_lm/output: p,r,F
S247XV35QK_SC_01,1,1,1.0,0.0,0.0,114.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S247XV35QK_SD_01,8,1,1.0,0.0,7.0,124.0,1.0,0.125,0.2222222222222222,1.0,0.125,0.2222222222222222,1.0,0.0,0.0
S247XV35QK_SE_01,1,1,1.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S247XV35QK_SE_02,1,1,1.0,0.0,0.0,33.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S247XV35QK_SE_03,3,1,1.0,0.0,2.0,40.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0
S247XV35QK_SE_04,3,1,1.0,0.0,2.0,36.0,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,1.0,0.0,0.0
S247XV35QK_SE_05,1,1,1.0,0.0,0.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2BDQ6WDWT_SC_01,1,1,1.0,0.0,0.0,111.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2BDQ6WDWT_SD_01,5,1,1.0,0.0,4.0,134.0,1.0,0.2,0.33333333333333337,1.0,0.2,0.33333333333333337,1.0,0.2,0.33333333333333337
S2BDQ6WDWT_SE_01,2,1,1.0,0.0,1.0,20.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0
S2BDQ6WDWT_SE_02,0,1,0.0,1.0,0.0,10.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S2BDQ6WDWT_SE_03,1,1,1.0,0.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2BDQ6WDWT_SE_04,1,1,1.0,0.0,0.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2BDQ6WDWT_SE_05,1,1,1.0,0.0,0.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2DN556XDR_SC_01,1,1,0.0,1.0,1.0,34.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
S2DN556XDR_SD_01,5,1,0.0,1.0,5.0,64.0,0.0,0.0,0,1.0,0.6,0.7499999999999999,1.0,0.0,0.0
S2DN556XDR_SE_01,1,1,1.0,0.0,0.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2DN556XDR_SE_02,0,1,0.0,1.0,0.0,14.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S2DN556XDR_SE_03,1,1,1.0,0.0,0.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2DN556XDR_SE_04,1,1,1.0,0.0,0.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2DN556XDR_SE_05,1,1,1.0,0.0,0.0,25.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2F4VD4NK8_SC_01,3,1,1.0,0.0,2.0,13.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0
S2F4VD4NK8_SD_01,1,1,1.0,0.0,0.0,66.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2F4VD4NK8_SE_01,1,1,1.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2F4VD4NK8_SE_02,0,1,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S2F4VD4NK8_SE_03,1,1,1.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
